Code;Libellé;Nb de pers. âgées de 65 ans ou + 2020;Taux d'emploi des femmes de 25-54 ans 2020;Taux d'emploi des hommes de 25-54 ans 2020;Part des pers., dont le diplôme le plus élevé est le bepc ou le brevet, dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+2 dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+3  ou BAC+4 dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2020;Part des locataires HLM dans les rés. principales 2020;Part des pers. âgées de 25 à 64 ans 2020;Part des pers. âgées de 65 ans ou + 2020;Créations d'entreprises (en nombre) 2022
12167;Najac;235;75.4;80.7;3.7;11.5;10;7.5;2.1;49.1;33.6;18
12168;Nant;378;82.8;87.8;6.7;8.3;7.1;4.7;4.5;44.4;38.1;13
12169;Naucelle;702;84.9;92;8.1;9.6;7.3;3.8;3.4;43.1;34.7;31
12170;Naussac;110;90.1;94.2;7.4;12.3;9.3;9;0;52.9;29.5;5
12171;Nauviale;119;87.3;89.4;5;15.5;9.5;4.5;1.2;50.1;20.2;5
12172;Le Nayrac;236;82.9;90.2;9.5;7.6;3.5;2.9;4.6;38.7;44.7;7
12174;Olemps;908;91;92.6;5.6;14.9;9.7;5.8;5.1;51.4;26.2;34
12175;Ols-et-Rinhodes;43;84.4;87.5;7.9;19;7.9;2.4;0;49.1;22.5;1
12176;Onet-le-Château;2596;77.8;85.8;6.7;13.1;10.2;7;16.1;49.3;22;144
12177;Palmas d'Aveyron;265;93.7;91.4;6.1;13.7;8.6;4.4;1.4;48.1;25.7;9
12178;Paulhe;88;90.4;90.9;5.3;17.7;10.9;5.9;0.6;52.3;23.8;1
12179;Peux-et-Couffouleux;28;100;75;10.3;11.5;6.4;1.3;0;50.6;33.3;0
12180;Peyreleau;25;88.9;55.6;11.8;10.3;19.1;14.7;7.3;56.2;34.2;0
12181;Peyrusse-le-Roc;52;97.1;84.2;6.5;13.1;10.1;6.5;0;51.9;24.8;5
12182;Pierrefiche;64;90.6;94.1;9.2;10.7;6.5;5.1;0;54.1;22.6;3
12183;Plaisance;79;86.2;70.5;7.3;13.9;6.7;7.4;0.8;50.6;36.3;3
12184;Pomayrols;55;75;92.3;2.7;3.6;11.6;3.6;0;46.7;45.8;0
12185;Pont-de-Salars;412;83;89.1;6.1;10.9;7.3;4.3;1.7;50.1;25.2;24
12186;Pousthomy;54;80.6;80;7.4;8.6;9.2;1.2;1;51.7;25.4;1
12187;Prades-d'Aubrac;190;83;76.1;13.4;6.1;2.2;3.1;0;40.2;54.7;1
12188;Prades-Salars;72;92;95.7;2.4;15.9;6.1;3.7;1.4;49.8;22.6;2
12189;Pradinas;102;74.6;84.7;5.2;9.9;8.2;2.1;1.2;50.7;28.9;4
12190;Prévinquières;87;78.7;90;7.2;13.2;6.8;2.1;1.4;49.7;30.2;5
12191;Privezac;90;83.1;91.9;5.2;16.3;6.7;4.7;0;49.8;27.7;4
12192;Mounes-Prohencoux;39;80;94.1;6.1;10.1;10.1;2.7;0;57;21;1
12193;Pruines;65;82.3;87;3.7;12.4;12.1;4.8;0;54.4;23.1;0
12194;Quins;180;89.4;94.2;7.3;15.4;7.8;6.7;0.8;53.1;21.1;13
12195;Rebourguil;60;82;88;8.1;13.4;6.5;3.5;0.9;54.6;22.1;3
12197;Réquista;681;81.8;87.9;6.6;9.6;6;3.1;2.8;45.4;34.4;23
12198;Rieupeyroux;603;82.8;86;6.6;11.3;6.4;3.7;5;48.1;31.1;20
12199;Rignac;535;84.8;88.4;5.8;12.5;9.6;7.2;4.4;47.6;26.7;21
12200;Rivière-sur-Tarn;301;83;87.2;4.9;10.5;8.2;4.5;4.3;49.4;29.3;11
12201;Rodelle;207;89.3;95.8;5.1;17.4;12.7;8.1;0.9;54.5;19.3;14
12202;Rodez;5511;77.9;82.2;7.3;14;12.6;10.8;6.9;47.1;22.6;368
12203;Roquefort-sur-Soulzon;125;76.2;89.1;5.4;11;5.1;5.9;2;52.1;22.6;7
12204;La Roque-Sainte-Marguerite;59;85.2;76;4.9;12.6;10.5;9.8;0;48.3;33.1;3
12205;La Rouquette;186;88.8;90.9;3.7;12.7;10.3;6.1;0;50.4;24.2;10
12206;Roussennac;126;90.6;92;4.2;18.2;12.2;6.3;2.5;50.7;20;9
12207;Rullac-Saint-Cirq;106;80.4;77.8;2.5;9.7;7.6;5;0;46.8;30.6;1
12208;Saint-Affrique;2321;80.6;83.8;7;9.7;8.7;5.3;10;46.4;29;80
12209;Saint-Amans-des-Cots;289;84.2;93;6.4;8.9;4.3;3.7;1.6;42.1;38.6;4
12210;Saint-André-de-Najac;149;65.9;73.7;4.9;9.7;9.1;6.2;1.4;45.3;32.7;4
12211;Saint-André-de-Vézines;54;94.4;84.2;3.4;12;4.3;6.8;1.4;47.7;40.9;1
12212;Saint-Beaulize;23;71.4;100;7.1;8.6;5.7;8.6;0;49.4;27;0
12213;Saint-Beauzély;135;81.7;86.9;7.3;11.1;9.1;4.7;4.8;51.3;21.7;13
12214;Saint-Chély-d'Aubrac;220;87.9;93.8;5;10.1;7.2;4.5;1.3;41;42.4;6
12215;Saint-Christophe-Vallon;271;89.2;89.4;5.9;13.9;6.4;5.8;2.9;50.6;23.1;7
12216;Saint-Côme-d'Olt;497;79.7;87.1;7.7;9.8;6.2;4.5;3.1;46.4;34.9;13
12217;Sainte-Croix;180;85.3;91.6;6;11.2;10.3;4.3;0.3;51.3;24.2;8
12219;Sainte-Eulalie-d'Olt;137;84.1;81;4;8.6;8;4.6;0.5;47.5;36.3;7
12220;Sainte-Eulalie-de-Cernon;92;76.3;79.9;3.7;11.4;7.7;8.8;3.7;51.5;30.8;6
12221;Saint-Félix-de-Lunel;145;84.1;87.8;8.1;11.8;4.1;1.9;1.1;41.9;40.9;4
12222;Saint-Félix-de-Sorgues;71;72.9;90.1;9.6;9.3;11.7;6.9;0;48.8;37.9;2
12223;Argences en Aubrac;610;87;94.5;7.4;8.3;4.5;4.2;4.8;44.7;38.1;10
12224;Saint Geniez d'Olt et d'Aubrac;832;78.8;80.9;11.2;7.1;5.4;4.2;4.3;44;37.5;24
12225;Saint-Georges-de-Luzençon;382;87.2;91.2;6.1;13.3;7.9;6.1;4.5;50;23.8;17
12226;Saint-Hippolyte;153;77.6;87.4;5.7;9.7;2.7;3.5;0.5;48;36.1;6
12227;Saint-Igest;49;80.6;71.5;6;6.7;10.8;6;0;49.8;27.5;2
12228;Saint-Izaire;107;68.7;79.1;2.9;12.5;9.5;4.7;0;45.8;34.6;6
12229;Saint-Jean-d'Alcapiès;35;89.6;95.3;6.9;10.4;14.7;10.1;1.7;57.3;14.2;0
12230;Saint-Jean-Delnous;147;86.4;98.3;4.1;8.4;6;2.4;0;43.6;37.5;2
12231;Saint-Jean-du-Bruel;262;71.9;73.8;9.4;6.6;4.9;4.3;1.8;45.8;36.6;7
12232;Saint-Jean-et-Saint-Paul;52;89.3;83.2;2.2;14.6;12.1;13.8;0;54.7;18.6;3
12233;Saint-Juéry;83;77.4;79.5;6.3;6.4;8.1;5.5;0;48.8;28.1;1
12234;Sainte-Juliette-sur-Viaur;113;92.9;96.6;6.6;15.8;9.9;5.2;2.4;52.9;18.2;6
12235;Saint-Just-sur-Viaur;75;86.8;91.5;10.6;11;9.3;2.9;0;45;36.7;5
12236;Saint-Laurent-de-Lévézou;32;79.2;93.5;7.1;12.6;3.1;3.1;0;57.9;21.1;3
12237;Saint-Laurent-d'Olt;231;85.2;83.5;7.4;13.4;5.4;6.4;2.5;41.2;35.7;7
12238;Saint-Léons;85;78.3;89.6;4.2;13.6;10.4;3.6;0;56;20;4
12239;Saint-Martin-de-Lenne;75;92.3;87;4;11.1;7.5;3.5;0;46.4;23.2;2
12240;Saint-Parthem;119;91.8;84.6;6.6;8.4;9.3;5.4;2.1;49.9;29.6;6
12241;Sainte-Radegonde;363;90.6;96.9;5.1;19.1;12;11.4;3.3;53.2;20.6;19
12242;Saint-Rémy;75;80.8;92.2;5.5;14.1;5.4;6.7;8.4;51.6;24.4;4
12243;Saint-Rome-de-Cernon;182;84.2;90;4.8;9.8;8;6.4;4.4;53.5;19;15
12244;Saint-Rome-de-Tarn;296;85.6;89;4.8;13.1;10.5;5.3;2.5;46.5;33.3;11
12246;Saint-Santin;158;92.3;95;7.4;8.5;4.5;3.1;4;50.2;29.8;5
12247;Saint-Saturnin-de-Lenne;100;93.8;89.3;6.4;8.9;5.7;3.2;0;49.1;33.8;2
12248;Saint-Sernin-sur-Rance;180;86.1;85.7;3.8;8;5.4;4.2;0.7;36;29.6;8
12249;Saint-Sever-du-Moustier;58;75.9;81.5;4.1;15.5;9.5;4.7;0;48.9;30.6;1
12250;Saint-Symphorien-de-Thénières;79;89.1;90.4;8.4;9.2;4.9;9;0;45.1;37.5;1
12251;Saint-Victor-et-Melvieu;109;78;87;5.2;9;8.2;1.5;3.1;46.9;33.9;3
12252;Salles-Courbatiès;135;79.6;89.4;7.4;11.5;10.2;8.6;2.2;47.3;30.8;2
12253;Salles-Curan;363;89.8;93.6;6.7;7.4;5.1;3.9;4;46.7;36.1;7
12254;Salles-la-Source;604;90.2;94.1;4.4;16.8;11.3;8.8;1.1;49.4;26.4;23
12255;Salmiech;233;89;95.2;6;14.2;6.9;5;0.8;46.9;30.6;5
12256;Salvagnac-Cajarc;109;84;86.9;4.9;10.6;10;6.5;0;50.9;29.7;11
12257;Causse-et-Diège;201;85.4;92.2;5.2;12;14.1;5.7;0;49.2;25.3;11
12258;La Salvetat-Peyralès;402;80.8;82.8;8.5;8.7;6.2;3.9;5;41.3;40.6;4
12259;Sanvensa;179;82;88.1;4.3;10.3;4.7;4.3;0;49;27.8;9
12260;Sauclières;47;83.3;97.1;7.5;6.8;6.1;5.4;4.7;55.3;27.6;1
12261;Saujac;51;73.3;78.6;7.6;4.8;12.4;5.7;0;43.4;41;1
12262;Sauveterre-de-Rouergue;321;82.7;85.4;5.4;11.8;8.1;6.9;4.3;41.2;45.1;6
12263;Savignac;162;88.9;94.2;7.3;12.4;9;4.2;0;50;21.5;7
12264;Sébazac-Concourès;750;86.7;93.6;5.4;15.1;10.7;6.9;2.6;51.2;22.5;35
12265;Sébrazac;169;87.5;94.1;5.2;12.2;9.6;5.6;0.5;44.6;31.9;5
12266;Ségur;150;83.3;86.8;6.4;9.4;5.7;2.6;2.2;46.7;27.4;5
12267;La Selve;206;78.6;88.2;3.9;10;4.3;1.7;0;46.6;32.8;6
12268;Sénergues;174;84.5;93.6;5.6;6.5;3.4;3.4;0.5;41.8;41;4
12269;La Serre;36;95.2;90;8.9;10.9;5;3;0;48.4;28.6;0
12270;Sévérac d'Aveyron;1125;82.8;88.2;8;10.7;6.7;3.3;3.3;49.1;27.6;48
12272;Sonnac;108;84.2;93.4;4.6;16.3;6.6;5.6;3.7;52;20.8;5
12273;Soulages-Bonneval;83;95.5;92.4;6.7;10.7;4.5;3.1;6.5;46.7;27.7;1
12274;Sylvanès;37;80;90.5;5.7;5.7;8;2.3;0;45;32.4;1
12275;Tauriac-de-Camarès;14;100;0;6.3;12.5;9.4;3.1;0;45.9;40.5;0
12276;Tauriac-de-Naucelle;107;78.7;82.9;11.5;10.1;2.9;4.6;4.4;50;29.8;4
12277;Taussac;184;90.2;91.1;8;6.9;6.3;2.3;2.5;43.6;35.2;6
12278;Tayrac;53;75.9;90.9;5;5;9.9;5;0;46.2;28.6;2
